Kodas,EAN,Likutis
5912384,5904165688194,0
5914825,5907001941958,1
5914826,5907001942207,1
5914827,5907001942214,1
5911155,5904165689498,0
5911156,5904165689511,0
5911157,5904165689535,0
5910387,5904165685995,0
5907291,5904165686008,0
5907292,5904165686015,0
5907293,5904165686022,0
5910388,5904165687555,0
5910389,5904165687562,0
5910390,5904165687579,0
5914828,5907001942153,1
5914829,5907001942160,1
5907294,5904165686275,0
5907295,5904165686282,0
5907296,5904165686299,0
5907297,5904165686305,0
783591,5904165680372,0
790593,5904165683519,0
790594,5904165683595,0
5910392,5904165688675,0
786457,5904165681041,1
774997,5902605478527,1
5909840,5904165689054,1
5909841,5904165689061,0
5909842,5904165689078,0
5905526,5904165685087,0
789908,5904165683106,0
5907303,5904165686206,0
791531,5904165683977,0
791532,5904165683984,0
5910959,5904165688965,0
5910960,5904165688972,0
5910393,5904165686848,0
5907300,5904165686411,0
5907301,5904165686428,0
5910394,5904165688682,0
5907302,5904165686190,1
5910395,5904165687586,0
5910396,5904165687593,0
5910397,5904165687609,0
5914830,5907001942283,0
5914831,5907001942290,1
5907306,5904165686114,0
5907308,5904165686121,0
5907309,5904165686138,0
5907310,5904165686145,0
5907305,5904165686220,0
5907983,5904165686763,0
5907304,5904165686213,0
5907984,5904165686831,0
5902892,5904165683700,1
5907643,5904165686640,1
5912986,5904165688248,0
5912655,5904165688255,0
5912656,5904165688118,0
5912657,5904165688019,0
5912658,5904165688026,0
5912659,5904165688279,0
5912987,5904165689092,1
5912988,5904165689108,1
5912989,5904165689115,1
3421,5907592169427,1
12439,5907592169441,1
778826,,0
763546,,1
775565,,1
783118,,1
781003,,1
781002,,1
780994,,1
783249,,1
783247,,1
783248,,1
783272,,1
783284,,1
783282,,1
783288,,1
783291,,1
783294,,1
783299,,1
783302,,1
783305,,1
779392,5905375833497,1
22316,,1
793,,1
2146,,1
5908776,5905692300153,1
5908777,5905692300160,5
5908778,5905692300177,5
789554,,0
788920,7640108050533,1
787223,7640108050687,1
16832,5907596459067,15
11844,5907596459012,0
788697,8693461012150,5
789207,8693461033360,1
788696,8693461073151,5
788698,8693461073168,15
5912185,8693461076046,1
5904719,8412896110442,1
5904716,8412896110459,1
5904718,,1
5904717,,1
5911295,5901811120664,1
5903386,5901811121661,1
5911174,5901811121692,1
790677,5901811122514,5
5911173,5901811122521,1
5911176,5901811122873,1
778705,5901811125720,5
5902849,5901811127205,1
787832,5901811128677,1
784428,5901811128875,15
784429,5901811128882,15
5911640,5901811130229,1
5909827,5901811131776,1
5909828,5901811131790,1
790699,5901811132490,1
790702,5901811132506,1
5902847,5901811132513,5
790701,5901811132544,1
5914353,5901811137075,5
5911641,5901811137341,1
5911642,5901811137358,1
5911643,5901811137372,5
5911644,5901811137389,1
5911645,5901811137419,1
5913151,5901811137464,1
5912236,5901811137501,5
5911430,5901811137808,1
5914894,5901811142116,1
5913950,5901811142338,1
5914354,5901811142444,1
5909831,5901811142956,5
5909833,5901811142963,5
5909832,5901811142994,1
5909935,5901811143007,1
5913156,5901811143076,5
5914355,5901811143250,1
790694,5901811160370,15
790696,5901811162244,1
5913949,,1
5909829,5901811163524,1
5909306,5901811163708,1
5911300,5901811166525,1
5907513,5901811168086,5
5907512,5901811168093,5
5908486,5901811168765,1
5908487,5901811168772,1
5914351,5901811169038,5
5914694,5901811169113,5
5904423,8001011169177,15
5904421,8001011169184,1
5911175,5901811169205,1
5904425,8001011169313,1
5910460,5901811170614,1
5910557,5901811170959,1
5910766,5901811171017,0
5910767,5901811171024,1
5914896,5901811171581,1
5913452,5901811172823,1
5914895,5901811173530,1
5913233,5901811173974,1
5910552,5901811174063,1
5914350,5901811174155,15
5912579,5901811174254,1
5914899,5901811175947,15
5914241,5901811175992,5
5914900,5901811176005,1
5912493,5901811176616,15
5913941,5901811176852,1
5913942,5901811176876,1
5912588,5901811176913,5
5912587,5901811176920,5
5912586,5901811176937,1
5912585,5901811176944,1
5912584,5901811176951,1
5912583,5901811176968,1
5913147,590181176975,1
5913148,5901811176982,1
5914356,5901811177019,1
5914357,5901811177026,1
5914358,5901811177033,1
5914359,5901811177040,1
5914360,5901811177057,1
5912590,5901811177095,1
5912589,5901811177101,1
5914898,5901811177279,15
5914692,5901811177354,1
5914693,5901811177361,1
5913363,5901811178740,1
5913362,5901811179150,0
5913944,5901811179501,5
5913945,5901811179532,1
5913946,5901811179549,1
5913947,5901811179563,5
5914888,5901811179594,1
5914887,5901811179600,1
5914352,5901811179846,5
5914685,5901811179976,1
5914686,5901811180002,1
5914901,5901811180453,5
5914902,5901811180460,5
5914903,5901811180477,5
5914904,5901811180484,5
5914891,5901811180644,1
5914889,5901811180651,1
5914890,5901811180668,1
5914892,5901811180682,1
5914893,5901811180705,1
5913948,,1
5914683,5901811181818,1
5913938,5901811182495,1
5913155,5901811182761,1
5914687,5901811183027,5
5913228,5901811184369,5
5914242,5901811185526,1
5914243,5901811185540,5
5914684,5901811185557,1
5914240,5901811185595,1
5913226,5901811185656,1
5913227,5901811185663,1
5913154,5901811185823,1
5914689,5901811186387,1
5913356,5901811186394,1
5913357,5901811186400,1
5913368,5901811186707,1
5913230,5901811186714,15
5913229,5901811186738,15
5913360,5901811187018,1
5914688,5901811187582,1
5913364,5901811187681,1
5913936,5901811187711,1
5913943,5901811187759,5
5913449,5901811187766,15
5914691,5901811187926,1
5914690,5901811187933,1
5913935,5901811188503,1
5913231,5901811188619,1
5914897,5901811188664,5
5906919,5901703114689,1
5907741,5904073165213,1
789844,5903271833320,0
18367,5904276097410,15
1009,5904276097038,0
5907644,,0
774978,5906269344143,15
1007,5906269344044,15
1008,5906269344075,15
1060,5906269344464,5
7191,5906269344105,15
12318,5906269344525,5
9364,5906269344082,15
10766,5906269344181,15
16388,5904276097168,1
8076,5906269344198,15
4042,5904276097274,5
4221,5904276097540,15
1868,5904276097243,15
15304,5906269344204,15
7747,5904276097489,1
12514,5904276097748,15
763767,5906269344433,1
776892,,0
5906592,5904276097731,0
5906587,,1
5906120,5904276097953,1
5906597,,1
5906122,,1
776049,5904276097304,1
8856,5904276097076,5
777996,,0
771315,,0
776098,,0
771969,,0
5297,5904276097359,1
9871,,0
760761,,0
789955,,0
5905858,5906269344273,15
5909466,,15
783342,8710103965299,0
783345,8710103965305,0
5906714,8710103993728,1
5904440,8710103990666,15
5904174,8710103990673,1
5904173,8710103990680,0
5903687,8710103990710,15
5902714,8710103974611,0
5912455,8720689039536,1
5914564,8720689027038,1
775740,8710103873778,15
5910272,8720689028028,1
5910273,8720689028042,0
5910274,8720689028059,1
5910275,8720689028110,5
5910276,8720689028202,5
5910277,8720689029049,5
5914452,8720689041744,15
5914367,8720689041768,5
5914453,8720689041959,15
5913251,8720689041997,5
783202,8710103949213,0
785551,8710103949251,0
784058,8710103949299,0
783455,8710103949336,1
783203,8710103949374,5
784016,8710103949411,1
784165,8710103949459,0
788638,8710103982494,15
789031,8710103982517,0
787953,8710103982388,1
789032,8710103982418,5
5913594,8720689042376,1
5913593,8720689042826,5
5913592,8720689042383,5
5913250,8720689042390,15
789365,8710103993001,0
789843,8710103993063,0
789423,8710103993162,0
5906229,8720689016216,15
5906228,8720689016513,15
5906230,8720689016520,15
5906231,8720689017510,0
5906232,8720689017527,5
5906681,8720689017558,15
5906233,8720689017565,15
5913249,8720689042178,5
5913847,8720689043861,5
5913248,8720689043298,15
5913842,8720689041850,5
5913247,8720689043045,15
5913246,8720689043229,1
5913245,8720689043236,1
5913844,8720689042314,5
5913591,8720689043243,5
5913581,8720689043052,5
5913590,8720689043069,5
5913589,8720689043076,15
5906234,8710103993186,1
5906235,8720689016575,0
5906236,8720689016865,0
5906237,8720689016872,0
5906238,8720689016889,15
5906239,8720689016551,0
5906240,8720689016735,15
5906241,8720689016582,0
5906242,8720689016568,15
5913244,8720689042406,5
5913843,8720689041652,5
5913588,8720689041669,1
5913587,8720689041683,5
5913845,8720689041690,5
5913846,8720689041300,1
5913586,8720689041317,5
5913585,8720689041324,1
5909360,8720689026437,0
5913576,8720689041577,5
5913577,8720689041584,1
5914806,8720689049610,1
5914807,8720689049627,1
5914808,8720689049634,5
5914809,8720689049641,5
5914850,8720689049658,5
786387,8710103991618,0
786388,8710103991625,0
5913841,8720689043250,5
5913839,8720689043274,5
7581,5012909006941,5
1503,5012909006156,15
777931,8710103907640,5
778127,8710103907732,5
778161,8710103845768,15
771532,8710103980421,15
771621,8710103980438,15
5903689,8710103990819,5
6432,8710103558729,1
783338,8710103941620,0
5906682,8720689008280,15
787867,8710103982678,5
5906243,8720689017091,15
5906244,8720689016599,15
5909029,8720689026383,15
