SKU,EAN,STOCK,STATUS
14869,5902963011343,15,instock
15258,5902963011398,15,instock
776392,5902963011404,15,instock
779617,5902963011459,1,instock
15194,5902963011466,1,instock
776388,5902963011565,1,instock
772149,5902963011572,5,instock
764616,5902963011589,1,instock
771763,5902963011596,1,instock
771758,5902963071088,1,instock
770973,5902963071095,1,instock
773932,5902963011855,1,instock
781421,5902963011879,0,outofstock
780432,5902963011893,1,instock
14613,5902963011992,1,instock
782853,5902963001931,5,instock
782851,5902963001948,15,instock
782850,5902963001955,15,instock
782852,5902963001962,1,instock
782855,5902963001979,15,instock
782854,5902963001986,15,instock
5903885,5902963004437,1,instock
5903599,5905489408055,15,instock
5903223,5905489408048,0,outofstock
5903222,5905489408031,0,outofstock
5903220,5905489408024,5,instock
5903221,5905489408017,0,outofstock
5903224,5905489408000,1,instock
5911107,5905489408796,1,instock
5911108,5905489408772,1,instock
5909170,5905489408482,1,instock
5909175,5905489408512,1,instock
5909174,5905489408505,1,instock
5909173,5905489408499,1,instock
5909169,5905489408475,1,instock
5905168,5905489408291,1,instock
5911298,5905489408284,0,outofstock
5911296,5905489408307,1,instock
5911297,5905489408277,0,outofstock
5905072,5905489408253,5,instock
5905074,5905489408246,1,instock
5905073,5905489408260,1,instock
783345,8710103965305,0,outofstock
5906714,8710103993728,1,instock
5904440,8710103990666,0,outofstock
5904174,8710103990673,1,instock
5904173,8710103990680,5,instock
5903687,8710103990710,5,instock
5902714,8710103974611,0,outofstock
5912455,8720689039536,0,outofstock
5914564,8720689027038,1,instock
775740,8710103873778,15,instock
5910272,8720689028028,0,outofstock
5910273,8720689028042,0,outofstock
5910274,8720689028059,5,instock
5910275,8720689028110,1,instock
5910276,8720689028202,1,instock
5910277,8720689029049,1,instock
5914452,8720689041744,5,instock
5914367,8720689041768,5,instock
5914453,8720689041959,15,instock
5913251,8720689041997,15,instock
59114538,8720689042017,1,instock
783202,8710103949213,0,outofstock
785551,8710103949251,0,outofstock
784058,8710103949299,0,outofstock
783455,8710103949336,0,outofstock
783203,8710103949374,0,outofstock
784016,8710103949411,0,outofstock
784165,8710103949459,0,outofstock
788638,8710103982494,0,outofstock
789031,8710103982517,0,outofstock
787953,8710103982388,0,outofstock
789032,8710103982418,0,outofstock
5913594,8720689042376,5,instock
5913593,8720689042826,1,instock
5913592,8720689042383,1,instock
5913250,8720689042390,0,outofstock
789365,8710103993001,0,outofstock
789843,8710103993063,0,outofstock
789423,8710103993162,0,outofstock
5906229,8720689016216,5,instock
5906228,8720689016513,0,outofstock
5906230,8720689016520,15,instock
5906231,8720689017510,0,outofstock
5906232,8720689017527,15,instock
5906233,8720689017565,1,instock
5913249,8720689042178,5,instock
5913847,8720689043861,1,instock
5913248,8720689043298,15,instock
5913842,8720689041850,5,instock
5913247,8720689043045,15,instock
5913246,8720689043229,5,instock
5913245,8720689043236,15,instock
5913844,8720689042314,0,outofstock
5913591,8720689043243,15,instock
5913581,8720689043052,1,instock
5913590,8720689043069,15,instock
